Переменная,Коэффициент,Стандартная ошибка,t-статистика,p-value,Значимость
Константа,11.853,0.445,26.632,0.0,значим
ln_площадь,0.965,0.144,6.691,0.0,значим
ln_кухня,-0.164,0.075,-2.18,0.0304,значим
количество комнат,0.174,0.053,3.268,0.0013,значим
