Переменная,Коэффициент,Стандартная ошибка,t-статистика,p-value,Значимость
Константа,-2808934.774,1405443.814,-1.999,0.0471,значим
общая площадь,126528.137,24426.889,5.18,0.0,значим
количество комнат,1844948.85,679345.454,2.716,0.0072,значим
площадь кухни,-62440.201,75736.384,-0.824,0.4107,не значим
