Переменная,Коэффициент,Стандартная ошибка,t-статистика,p-value,Значимость
Константа,-406363.236,1459093.931,-0.279,0.7809,не значим
общая площадь,172472.936,16585.661,10.399,0.0,значим
первый_этаж,-245509.64,1661646.712,-0.148,0.8827,не значим
общая этажность дома,-260555.553,104269.599,-2.499,0.0133,значим
