,цена,общая площадь,жилая площадь,площадь кухни,количество комнат,расстояние до общественного транспорта,этаж,общая этажность дома,высота потолков
цена,1.0,0.584,0.581,0.162,0.523,-0.053,0.08,0.02,0.025
общая площадь,0.584,1.0,0.884,0.424,0.674,-0.033,0.232,0.277,0.106
жилая площадь,0.581,0.884,1.0,0.174,0.683,-0.079,0.168,0.214,0.038
площадь кухни,0.162,0.424,0.174,1.0,0.1,0.055,0.133,0.237,0.287
количество комнат,0.523,0.674,0.683,0.1,1.0,-0.064,0.079,-0.031,-0.112
расстояние до общественного транспорта,-0.053,-0.033,-0.079,0.055,-0.064,1.0,0.098,0.047,0.001
этаж,0.08,0.232,0.168,0.133,0.079,0.098,1.0,0.611,0.072
общая этажность дома,0.02,0.277,0.214,0.237,-0.031,0.047,0.611,1.0,0.264
высота потолков,0.025,0.106,0.038,0.287,-0.112,0.001,0.072,0.264,1.0
