цена,общая площадь,жилая площадь,площадь кухни,количество комнат,расстояние до общественного транспорта,этаж,общая этажность дома,высота потолков,ссылка на объявление
6200000.0,58.4,26.2,19.2,2,1464,12,12,2.7,https://www.cian.ru/sale/flat/331370622
7350000.0,57.0,35.0,11.0,2,1733,8,9,2.5,https://www.cian.ru/sale/flat/330874096
7000000.0,55.0,29.4,9.5,2,1619,2,10,2.6,https://www.cian.ru/sale/flat/330965403
4920000.0,82.0,60.0,17.0,2,689,5,8,3.0,https://www.cian.ru/sale/flat/331511368
7800000.0,67.0,38.0,14.0,2,113,4,5,3.1,https://www.cian.ru/sale/flat/328966421
9500000.0,85.0,44.0,20.0,2,226,2,10,3.1,https://www.cian.ru/sale/flat/328966417
14500000.0,84.0,45.3,17.5,2,207,6,14,3.2,https://www.cian.ru/sale/flat/331683653
3600000.0,72.0,50.0,20.0,2,184,6,16,3.2,https://www.cian.ru/sale/flat/331589235
1980000.0,44.0,23.0,19.0,2,477,3,16,3.2,https://www.cian.ru/sale/flat/331585840
3000000.0,68.0,46.0,19.0,2,451,5,16,3.2,https://www.cian.ru/sale/flat/331629170
8000000.0,98.0,66.0,20.0,2,835,2,5,3.0,https://www.cian.ru/sale/flat/320649957
16500000.0,89.0,65.0,18.0,2,362,5,10,3.0,https://www.cian.ru/sale/flat/322848138
8160000.0,86.0,37.0,19.0,2,258,5,16,3.0,https://www.cian.ru/sale/flat/330745706
4790000.0,53.0,29.0,12.2,2,466,3,6,3.0,https://www.cian.ru/sale/flat/331120698
10000000.0,67.2,34.0,21.0,2,1080,8,9,3.02,https://www.cian.ru/sale/flat/330685659
8400000.0,60.0,27.0,12.0,2,206,7,10,3.0,https://www.cian.ru/sale/flat/330888690
5399999.0,48.0,28.0,5.5,2,199,4,4,2.9,https://www.cian.ru/sale/flat/330703721
5200000.0,45.0,34.0,6.0,2,325,2,5,2.5,https://www.cian.ru/sale/flat/331424735
8300000.0,78.0,49.0,19.0,2,205,11,13,3.0,https://www.cian.ru/sale/flat/330959760
6300000.0,48.0,30.8,2.9,2,334,8,10,2.8,https://www.cian.ru/sale/flat/331151244
7000000.0,82.0,38.9,24.4,2,1826,7,10,3.0,https://www.cian.ru/sale/flat/331370634
5800000.0,70.0,37.0,12.0,2,260,2,4,2.9,https://www.cian.ru/sale/flat/318592841
6900000.0,64.6,31.5,19.2,2,188,2,3,2.7,https://www.cian.ru/sale/flat/326186493
5600000.0,60.0,30.0,25.0,2,499,4,4,3.0,https://www.cian.ru/sale/flat/330946431
6300000.0,49.0,38.0,8.0,2,304,1,5,3.0,https://www.cian.ru/sale/flat/330931109
3000000.0,66.0,49.0,12.0,2,455,5,12,3.0,https://www.cian.ru/sale/flat/330989632
6200000.0,62.0,30.0,15.0,2,380,5,6,3.0,https://www.cian.ru/sale/flat/331686061
7800000.0,92.0,70.0,20.0,2,144,3,15,3.2,https://www.cian.ru/sale/flat/311191979
5500000.0,45.0,29.0,9.4,2,351,2,2,2.65,https://www.cian.ru/sale/flat/329675548
12000000.0,60.4,40.7,9.9,2,417,1,2,3.5,https://www.cian.ru/sale/flat/323033889
8450000.0,45.0,23.0,14.0,2,1018,8,11,3.0,https://www.cian.ru/sale/flat/324458734
5350000.0,42.5,30.0,6.0,2,408,2,5,2.7,https://www.cian.ru/sale/flat/331481707
7300000.0,48.0,40.0,3.0,2,253,4,5,3.0,https://www.cian.ru/sale/flat/326455654
8000000.0,64.0,25.0,25.0,2,1993,2,14,2.8,https://www.cian.ru/sale/flat/330566162
5300000.0,48.0,30.0,12.0,2,312,2,5,3.0,https://www.cian.ru/sale/flat/331464166
4950000.0,50.0,30.0,5.0,2,1951,11,11,3.0,https://www.cian.ru/sale/flat/331266870
8800000.0,99.0,80.0,17.0,2,444,11,11,3.1,https://www.cian.ru/sale/flat/328931191
8300000.0,45.5,28.0,6.5,2,105,3,5,2.8,https://www.cian.ru/sale/flat/327169254
6600000.0,55.0,25.0,20.0,2,1525,10,13,2.5,https://www.cian.ru/sale/flat/331390410
7100000.0,73.0,35.0,15.0,2,373,13,16,2.8,https://www.cian.ru/sale/flat/329833320
11600000.0,80.0,43.4,13.0,2,1213,11,18,2.95,https://www.cian.ru/sale/flat/328549842
4750000.0,74.0,50.0,20.0,2,754,6,12,5.0,https://www.cian.ru/sale/flat/330229958
11000000.0,80.0,60.0,18.0,2,1390,13,15,3.0,https://www.cian.ru/sale/flat/330218535
4800000.0,52.0,35.0,12.0,2,145,15,16,3.0,https://www.cian.ru/sale/flat/330228279
8800000.0,82.0,45.0,30.0,2,1039,5,10,3.0,https://www.cian.ru/sale/flat/328227282
6200000.0,48.8,20.0,20.0,2,1071,7,10,3.2,https://www.cian.ru/sale/flat/331055980
7500000.0,76.0,16.5,16.5,2,482,5,10,4.0,https://www.cian.ru/sale/flat/331040439
9200000.0,70.0,47.0,20.0,2,450,7,13,3.0,https://www.cian.ru/sale/flat/325001405
8999000.0,65.0,35.0,18.0,2,748,15,16,3.0,https://www.cian.ru/sale/flat/203226889
7000000.0,49.6,36.6,10.0,2,300,2,2,3.0,https://www.cian.ru/sale/flat/329568578
10000000.0,62.0,40.0,20.0,2,171,6,7,3.1,https://www.cian.ru/sale/flat/329456353
7500000.0,75.0,39.0,14.3,2,1851,8,12,3.0,https://www.cian.ru/sale/flat/325881969
12800000.0,92.0,58.0,23.0,2,1780,7,8,3.0,https://www.cian.ru/sale/flat/329404332
6800000.0,51.0,39.0,9.0,2,219,9,10,3.0,https://www.cian.ru/sale/flat/325549721
13300000.0,60.0,26.8,8.7,2,1386,4,4,3.2,https://www.cian.ru/sale/flat/296854098
5300000.0,72.9,58.0,12.0,2,1335,8,12,3.0,https://www.cian.ru/sale/flat/319501118
8500000.0,45.0,18.0,6.0,2,560,2,5,2.7,https://www.cian.ru/sale/flat/330076049
7000000.0,82.0,45.0,12.0,2,405,10,11,3.0,https://www.cian.ru/sale/flat/320278936
9500000.0,70.0,45.0,20.0,2,1217,9,13,3.0,https://www.cian.ru/sale/flat/311273356
8000000.0,55.0,47.0,3.0,2,411,1,9,3.0,https://www.cian.ru/sale/flat/329298237
15700000.0,52.28,17.0,28.3,2,312,13,13,3.0,https://www.cian.ru/sale/flat/318231888
8000000.0,84.0,70.0,10.0,2,100,12,15,2.5,https://www.cian.ru/sale/flat/327917567
8200000.0,67.0,50.0,15.0,2,230,12,13,3.1,https://www.cian.ru/sale/flat/308490109
3318000.0,80.0,60.0,18.0,2,108,3,12,3.15,https://www.cian.ru/sale/flat/321783049
8500000.0,48.0,27.0,10.0,2,472,5,5,2.5,https://www.cian.ru/sale/flat/322786667
12800000.0,85.3,47.2,14.6,2,451,11,13,3.0,https://www.cian.ru/sale/flat/321499246
4080000.0,68.0,35.6,14.7,2,1714,15,16,3.2,https://www.cian.ru/sale/flat/321441129
5800000.0,73.4,38.4,12.4,2,823,5,10,3.0,https://www.cian.ru/sale/flat/313426685
8000000.0,67.0,50.0,14.0,2,398,6,13,3.1,https://www.cian.ru/sale/flat/322458192
12500000.0,78.9,60.0,15.0,2,451,8,10,3.0,https://www.cian.ru/sale/flat/321151187
11200000.0,110.0,94.0,12.0,2,1910,10,13,3.0,https://www.cian.ru/sale/flat/318520579
14500000.0,72.0,53.0,12.0,2,134,17,20,3.0,https://www.cian.ru/sale/flat/318266038
5500000.0,81.5,45.0,18.5,2,1126,11,12,3.1,https://www.cian.ru/sale/flat/312501910
18500000.0,127.0,82.9,14.9,3,128,9,11,3.0,https://www.cian.ru/sale/flat/326158354
9900000.0,60.0,40.0,7.0,3,404,4,5,2.7,https://www.cian.ru/sale/flat/312990540
20500000.0,140.0,104.0,18.0,3,406,8,10,2.8,https://www.cian.ru/sale/flat/330900532
5395000.0,53.0,38.4,6.4,3,518,1,4,2.8,https://www.cian.ru/sale/flat/331015754
7250000.0,87.0,49.0,13.8,3,290,10,10,2.8,https://www.cian.ru/sale/flat/330870922
17380000.0,100.0,62.0,18.0,3,1235,3,12,3.3,https://www.cian.ru/sale/flat/331068882
19000000.0,92.0,60.0,13.0,3,206,5,12,3.0,https://www.cian.ru/sale/flat/330745701
16500000.0,106.0,59.0,12.5,3,449,7,8,3.0,https://www.cian.ru/sale/flat/328268334
14500000.0,125.6,70.0,30.0,3,1019,10,12,3.0,https://www.cian.ru/sale/flat/321256540
16500000.0,87.0,50.0,20.0,3,660,12,14,3.05,https://www.cian.ru/sale/flat/321275557
27500000.0,150.0,120.0,20.0,3,1217,10,16,3.0,https://www.cian.ru/sale/flat/313291588
6500000.0,90.5,56.7,11.5,3,1541,11,14,3.0,https://www.cian.ru/sale/flat/331119055
8999999.0,110.0,62.0,22.5,3,642,4,5,2.9,https://www.cian.ru/sale/flat/330260235
7990000.0,78.0,42.0,10.0,3,830,10,10,2.65,https://www.cian.ru/sale/flat/330703715
10500000.0,73.0,41.0,14.0,3,1992,4,5,2.6,https://www.cian.ru/sale/flat/330783910
17950000.0,93.4,52.1,9.0,3,360,2,14,3.0,https://www.cian.ru/sale/flat/331370625
7700000.0,68.0,35.5,16.0,3,275,1,2,2.7,https://www.cian.ru/sale/flat/330665013
8700000.0,70.0,31.0,30.0,3,307,2,2,2.7,https://www.cian.ru/sale/flat/330665014
5749000.0,84.0,35.2,15.0,3,148,10,12,2.9,https://www.cian.ru/sale/flat/331083221
29400000.0,166.6,80.5,15.0,3,190,8,16,3.1,https://www.cian.ru/sale/flat/330111201
20500000.0,152.4,70.0,45.0,3,875,18,19,3.1,https://www.cian.ru/sale/flat/325833317
9850000.0,100.0,52.0,14.0,3,335,15,16,2.8,https://www.cian.ru/sale/flat/315906779
19499999.0,117.2,81.0,15.0,3,691,4,13,2.85,https://www.cian.ru/sale/flat/329023145
8000000.0,75.0,50.0,15.0,3,188,10,10,3.0,https://www.cian.ru/sale/flat/330894648
11000000.0,72.0,54.0,9.0,3,128,9,9,2.5,https://www.cian.ru/sale/flat/321480121
16000000.0,92.0,42.0,28.0,3,352,3,4,3.0,https://www.cian.ru/sale/flat/324774867
6500000.0,66.4,44.7,8.0,3,689,5,5,2.5,https://www.cian.ru/sale/flat/330352843
8800000.0,72.1,48.0,10.1,3,1839,13,13,3.0,https://www.cian.ru/sale/flat/322939421
25000000.0,92.5,70.0,18.0,3,444,5,11,2.5,https://www.cian.ru/sale/flat/327130055
17800000.0,118.0,98.0,18.0,3,128,6,11,3.0,https://www.cian.ru/sale/flat/330329303
6990000.0,70.0,40.0,20.0,3,195,4,7,3.0,https://www.cian.ru/sale/flat/330402468
8200000.0,55.7,40.8,5.6,3,1437,5,5,2.65,https://www.cian.ru/sale/flat/330319035
10500000.0,99.0,70.0,20.0,3,186,10,10,3.0,https://www.cian.ru/sale/flat/329505559
25250000.0,133.0,93.0,22.0,3,525,3,13,3.0,https://www.cian.ru/sale/flat/330098208
16000000.0,90.5,44.2,17.1,3,1890,8,10,3.0,https://www.cian.ru/sale/flat/329816461
8000000.0,47.9,34.4,6.0,3,1271,3,5,2.7,https://www.cian.ru/sale/flat/322461863
11300000.0,94.0,80.0,9.0,3,289,4,5,2.0,https://www.cian.ru/sale/flat/326608640
6300000.0,81.0,40.0,14.0,3,414,15,16,3.0,https://www.cian.ru/sale/flat/330081857
14200000.0,141.0,95.0,19.4,3,423,7,19,2.9,https://www.cian.ru/sale/flat/327466007
12000000.0,84.0,64.9,16.0,3,176,11,11,3.0,https://www.cian.ru/sale/flat/329187092
16000000.0,111.5,60.3,17.0,3,139,8,19,3.0,https://www.cian.ru/sale/flat/329758421
13700000.0,108.0,81.0,14.0,3,272,1,8,3.0,https://www.cian.ru/sale/flat/328416304
10500000.0,119.5,65.5,18.5,3,1020,10,12,3.0,https://www.cian.ru/sale/flat/328342618
7905000.0,93.0,73.0,18.0,3,1094,2,17,3.0,https://www.cian.ru/sale/flat/327235524
10199999.0,84.0,70.0,10.0,3,392,7,13,3.1,https://www.cian.ru/sale/flat/327171175
13100000.0,112.8,85.8,18.7,3,369,9,16,2.9,https://www.cian.ru/sale/flat/306518226
7200000.0,70.0,43.0,18.3,3,1973,10,11,3.0,https://www.cian.ru/sale/flat/326945753
10000000.0,138.0,91.0,16.3,3,139,2,10,3.0,https://www.cian.ru/sale/flat/322689072
20000000.0,83.0,71.0,10.0,3,261,13,20,3.0,https://www.cian.ru/sale/flat/321059169
17200000.0,80.0,55.0,15.0,3,877,12,14,3.0,https://www.cian.ru/sale/flat/317084516
8080000.0,86.7,56.0,12.0,4,445,1,10,2.8,https://www.cian.ru/sale/flat/321321924
12800000.0,110.0,80.0,13.0,4,199,7,9,3.0,https://www.cian.ru/sale/flat/331650333
15050000.0,75.0,68.0,5.0,4,176,1,3,3.0,https://www.cian.ru/sale/flat/320816226
11700000.0,114.0,90.0,16.0,4,1063,7,8,3.0,https://www.cian.ru/sale/flat/331676591
11100000.0,82.4,53.4,9.1,4,269,10,11,2.7,https://www.cian.ru/sale/flat/328175743
11000000.0,63.7,46.7,6.9,4,211,4,9,2.7,https://www.cian.ru/sale/flat/326603766
16000000.0,90.0,65.0,12.0,4,200,7,9,2.7,https://www.cian.ru/sale/flat/330406051
11600000.0,86.3,54.0,10.5,4,469,9,10,2.7,https://www.cian.ru/sale/flat/327621255
9800000.0,80.0,46.0,26.0,4,277,2,5,2.7,https://www.cian.ru/sale/flat/330021390
80000000.0,105.0,85.8,15.0,4,445,4,4,3.2,https://www.cian.ru/sale/flat/323684003
